Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V282,2688250.96771,1260890.64703,0.534919,0.427377,31.227888
V283,2620082.30683,1175991.23009,1.128138,0.162351,65.490543
V284,2652800.15017,1150590.94093,3.748219,0.92088,217.882972
V285,2611037.06184,1233928.32356,0.400865,0.596394,23.401227
V286,2574248.14533,1121405.22237,2.838788,0.718819,165.034273
V287,2558904.23322,1145944.82292,0.316182,0.33543,18.646422
V288,2693958.29834,1208832.34852,3.416962,0.384476,198.706023
V289,2662583.89890,1242398.12718,0.379392,0.42139,22.177023
V290,2596061.31210,1184168.05328,6.221916,0.285312,361.612544
V291,2764936.86580,1261229.34593,3.476896,0.27041,201.90771
V292,2662025.71031,1136317.18819,3.478303,0.392133,202.21382
V293,2660668.89231,1151084.70696,3.298647,0.652837,191.757601
V294,2591425.75853,1224547.20189,0.276311,0.568649,16.261563
V295,2694454.62981,1143743.73186,4.212463,0.454684,244.923194
V296,2798034.87076,1193364.34582,3.098599,0.82692,180.118169
V297,2706005.65362,1237424.84548,4.092303,0.164659,237.825077
V298,2569481.19409,1113707.37323,0.978921,0.332524,56.988221
V299,2620218.83783,1251457.24745,0.710219,0.376585,41.378195
V300,2806128.48766,1142310.22891,3.523255,0.522678,204.83727
V301,2723428.84506,1146673.87196,4.053542,0.56771,235.675284
V302,2710792.96143,1138717.77799,4.519707,0.538894,262.757042
V303,2570568.12610,1092105.61283,3.820989,0.903781,222.114493
V304,2497379.03934,1133053.31298,0.463449,0.598753,27.012429
V305,2639841.18020,1157017.60988,3.550834,0.873783,206.409364
V306,2635530.83475,1257138.24884,0.384403,0.445804,22.439611
V307,2633185.06033,1219040.78032,0.39744,0.261142,23.341469
V308,2717462.37673,1132231.60849,4.53351,0.43919,263.596757
V309,2713333.25388,1174844.74692,4.310174,0.157081,250.813241
V310,2720941.33277,1178233.05435,3.55618,0.307964,206.847197
V311,2566002.47610,1116244.65853,0.240577,0.226386,14.291537
V312,2714636.82713,1102634.59427,4.482875,0.315344,260.629501
V313,2805852.39415,1127000.24748,3.260748,0.393118,189.598721
V314,2670557.56775,1233304.62485,1.369956,0.147974,79.694139
V315,2593928.33863,1218011.43077,0.306731,0.539241,18.006245
