Station_ID,lon,lat,circular_stats_theta_rad,circular_stats_regularity,mean_peak_doy
V229,2649626.91988,1217822.04351,1.348941,0.834484,78.419097
V230,2521723.28353,1152851.97469,0.708599,0.89649,41.191036
V231,2638026.90764,1249294.47931,1.079254,0.87399,62.739665
V232,2623256.58926,1248220.44123,1.146558,0.875408,66.652345
V233,2753788.72632,1199954.74473,2.205797,0.897393,128.22918
V234,2602740.82488,1108589.98928,2.475479,0.93903,143.900181
V235,2768059.29362,1181625.96704,2.690289,0.941645,156.387995
V236,2702242.32142,1220004.17236,1.414628,0.855416,82.237357
V237,2595918.80160,1173469.71448,1.994288,0.917046,115.931867
V238,2721206.89809,1109260.94729,1.927673,0.747998,112.073016
V239,2746987.21704,1245629.15483,1.634608,0.841938,95.02211
V240,2562680.37203,1224892.42195,1.264756,0.883435,73.524237
V241,2587441.67090,1216435.91570,1.046396,0.895571,60.827751
V242,2729683.69912,1171901.43016,1.894867,0.82457,110.158417
V243,2729755.79606,1232752.53709,1.770867,0.866548,102.943546
V244,2722992.24525,1257513.21708,1.245017,0.846221,72.376906
V245,2515451.03977,1172925.81272,1.096269,0.901207,63.729471
V246,2588627.29110,1213349.30996,1.105497,0.890565,64.263844
V247,2692637.17034,1243204.53999,1.273004,0.842798,74.003176
V248,2741792.66373,1183429.13224,1.628789,0.821418,94.689185
V249,2736341.28682,1248708.87048,1.547357,0.837518,89.950638
V250,2592290.27206,1130434.19161,2.635049,0.940984,153.175384
V251,2765283.58420,1206126.25467,1.358367,0.844247,78.966678
V252,2653496.13258,1169600.06737,2.72316,0.948541,158.297389
V253,2788280.10891,1156440.11558,2.636384,0.93495,153.254695
V254,2504754.88482,1159599.57892,1.318947,0.880421,76.674469
V255,2575531.14179,1133716.34825,1.974707,0.92755,114.792945
V256,2708282.12457,1105834.11056,1.879747,0.716837,109.291286
V257,2699596.41988,1150488.95852,2.062711,0.753498,119.920438
V258,2760061.93682,1193685.70413,1.762732,0.841683,102.473441
V259,2733144.93298,1217472.12643,2.091199,0.875729,121.566806
V260,2611333.34882,1238193.91593,1.177684,0.890634,68.459731
V261,2589043.77586,1158048.35401,2.130472,0.923919,123.847306
V262,2654501.36388,1135991.62255,1.735736,0.785558,100.908622
V263,2619861.46921,1258807.87848,1.151474,0.826691,66.939406
V264,2773654.12491,1175425.78702,2.402579,0.922538,139.6641
V265,2751450.05053,1210150.54356,1.851885,0.830394,107.658006
V266,2598339.03373,1188582.20957,1.287433,0.840054,74.843911
V267,2725077.26753,1168075.15626,2.409065,0.925853,140.040539
V268,2571065.38656,1110395.33430,1.478256,0.905209,85.935451
V269,2669937.09722,1261755.08720,1.054793,0.878008,61.316446
V270,2724437.78885,1210146.66134,2.006316,0.851736,116.632005
V271,2572878.16824,1197789.70723,1.083058,0.851482,62.957065
V272,2713366.76747,1097287.51307,1.417294,0.469987,82.424573
V273,2760082.83501,1245326.28223,1.53936,0.776536,89.487904
V274,2696685.59679,1204232.28163,1.98645,0.866797,115.477675
V275,2521162.76140,1179387.26038,1.156477,0.908642,67.22955
V276,2717832.30565,1259693.71715,1.174912,0.864672,68.300685
V277,2680952.16893,1290002.58823,1.107455,0.886436,64.375869
V278,2656401.82382,1242661.79764,1.152167,0.876552,66.975624
V279,2578937.08940,1179385.06590,1.189159,0.840774,69.131919
V280,2593046.51458,1169582.82724,2.052329,0.920157,119.304763
V281,2725190.32644,1216319.78033,1.844563,0.852662,107.22865
V282,2688250.96771,1260890.64703,1.113335,0.86551,64.719699
V283,2620082.30683,1175991.23009,1.488396,0.836402,86.526144
V284,2652800.15017,1150590.94093,3.505068,0.971194,203.747584
V285,2611037.06184,1233928.32356,1.078241,0.883452,62.677656
V286,2574248.14533,1121405.22237,2.522261,0.941917,146.619508
V287,2558904.23322,1145944.82292,1.131824,0.840477,65.795183
V288,2693958.29834,1208832.34852,1.779194,0.826602,103.429222
V289,2662583.89890,1242398.12718,1.210914,0.870325,70.391524
V290,2596061.31210,1184168.05328,1.320669,0.838167,76.776363
V291,2764936.86580,1261229.34593,1.536379,0.743158,89.314134
V292,2662025.71031,1136317.18819,2.658914,0.935175,154.560885
V293,2660668.89231,1151084.70696,3.024588,0.958737,175.817955
V294,2591425.75853,1224547.20189,1.097665,0.896509,63.80778
V295,2694454.62981,1143743.73186,2.273305,0.874416,132.150978
V296,2798034.87076,1193364.34582,3.113213,0.962397,180.969731
V297,2706005.65362,1237424.84548,1.453678,0.791873,84.506423
V298,2569481.19409,1113707.37323,1.706253,0.902862,99.189738
V299,2620218.83783,1251457.24745,1.131102,0.855073,65.754478
V300,2806128.48766,1142310.22891,2.703523,0.928961,157.157577
V301,2723428.84506,1146673.87196,2.667934,0.929322,155.088012
V302,2710792.96143,1138717.77799,2.087379,0.637168,121.347475
V303,2570568.12610,1092105.61283,3.403152,0.96933,197.82334
V304,2497379.03934,1133053.31298,0.805712,0.88709,46.83805
V305,2639841.18020,1157017.60988,3.192432,0.965016,185.574587
V306,2635530.83475,1257138.24884,1.115674,0.850778,64.859058
V307,2633185.06033,1219040.78032,1.322005,0.879954,76.850899
V308,2717462.37673,1132231.60849,1.96864,0.611254,114.450436
V309,2713333.25388,1174844.74692,1.680123,0.817357,97.673155
V310,2720941.33277,1178233.05435,2.108241,0.874802,122.560395
V311,2566002.47610,1116244.65853,1.780852,0.900801,103.525494
V312,2714636.82713,1102634.59427,1.641349,0.565356,95.444384
V313,2805852.39415,1127000.24748,2.19477,0.862097,127.594626
V314,2670557.56775,1233304.62485,1.265863,0.829764,73.58758
V315,2593928.33863,1218011.43077,1.109001,0.897083,64.466445
V316,2778533.41877,1162751.75091,2.775171,0.945543,161.321588
V317,2670451.72180,1170536.80009,3.246021,0.96614,188.689128
V318,2742971.70988,1170154.62113,2.458254,0.923183,142.900775
V319,2678602.32399,1241208.27110,1.350941,0.84597,78.535374
V320,2626554.01799,1111409.89419,2.831473,0.946419,164.594204
V321,2714084.48068,1220695.38645,1.98639,0.872711,115.473017
V322,2704986.15301,1190659.46368,2.649776,0.941501,154.031616
V323,2641815.63955,1199399.22729,1.596499,0.854465,92.808874
V324,2723454.02272,1247049.41664,1.39045,0.821647,80.830762
V325,2554768.94143,1173527.09707,0.936155,0.869736,54.421489
V326,2718945.27756,1081405.69096,1.218501,0.577532,70.860044
V327,2699233.22028,1291839.39391,1.129548,0.881163,65.661167
V328,2594935.22713,1118270.51340,1.102431,0.890627,64.087472
V329,2591719.27653,1141832.04483,1.842073,0.920742,107.083865
V330,2671222.21288,1190568.79271,2.072706,0.886191,120.492839
V331,2617357.01260,1244041.62212,1.194067,0.886948,69.413583
V332,2627609.85030,1124503.01572,2.410818,0.930845,140.141873
V333,2657141.39051,1222453.78884,1.346331,0.82442,78.266201
V334,2637806.92380,1223368.39138,1.250346,0.875356,72.684912
V335,2567470.21195,1163531.16938,1.208571,0.856813,70.256056
V336,2516628.91933,1159381.69273,1.034953,0.895363,60.166774
V337,2753213.79177,1233394.23122,1.501612,0.799874,87.290225
V338,2674179.21292,1178901.28799,3.116339,0.962003,181.151563
V339,2610023.87507,1191529.47295,1.276593,0.823661,74.212233
V340,2801326.32636,1143454.73631,2.472942,0.892761,143.758976
V341,2692294.64243,1230302.94444,1.516965,0.786498,88.190278
V342,2645144.18250,1186055.15499,2.046735,0.921975,118.979911
V343,2565550.17301,1121558.85180,0.863166,0.877868,50.176242
V344,2711660.97975,1084695.34658,1.235545,0.550273,71.848828
V345,2659319.65036,1190923.54183,1.089856,0.841479,63.356804
V346,2692623.40092,1276266.27670,1.169838,0.863414,68.001445
V347,2721378.89643,1077093.95459,1.209373,0.590838,70.328604
V348,2743204.82641,1250664.14514,1.573175,0.816758,91.453257
V349,2523078.51114,1162942.26621,0.763249,0.900995,44.368046
V350,2540982.92990,1160538.61974,0.886933,0.86345,51.559697
V351,2625857.48191,1257746.02088,1.197555,0.824824,69.619346
V352,2649409.72751,1200695.50211,1.76428,0.880914,102.562367
V353,2559174.46755,1103610.22472,2.858246,0.948571,166.150046
V354,2828493.99529,1161829.47114,2.995016,0.944897,174.099807
V355,2580373.84480,1200094.27224,1.131023,0.870348,65.748915
V356,2682354.19015,1211535.96125,1.900937,0.838876,110.509483
V357,2642566.99517,1208819.59591,1.5363,0.860294,89.309514
V358,2498438.80312,1122970.42729,0.693382,0.882399,40.306237
V359,2710782.59726,1208511.98427,2.468254,0.926718,143.482247
V360,2695399.88649,1260089.10977,1.178573,0.856798,68.513595
V361,2721177.45864,1221959.54287,1.531581,0.80246,89.035778
V362,2583099.97002,1238309.66329,1.118344,0.886928,65.011921
V363,2749744.28456,1156921.67212,2.640975,0.925635,153.522601
V364,2767325.90167,1157555.14196,2.455109,0.907591,142.718942
V365,2632565.67459,1154860.77936,2.59619,0.942794,150.917056
V366,2626307.40588,1175195.13680,2.09621,0.927972,121.856551
V367,2592440.62892,1210413.67061,1.146206,0.885168,66.631021
V368,2629511.08658,1262943.88352,1.222299,0.840011,71.056541
V369,2647023.68410,1111292.14238,2.976802,0.948576,173.040495
V370,2735088.37113,1124127.93930,2.139224,0.776691,124.367725
V371,2747945.67505,1240484.22203,1.853078,0.867304,107.722017
V372,2697236.61714,1162753.56203,2.867825,0.944396,166.70512
V373,2646823.68001,1243072.18862,1.154627,0.882735,67.11842
V374,2615429.89714,1222125.07456,1.170523,0.88719,68.04254
V375,2814797.84724,1171465.19929,2.677766,0.940252,155.660467
V376,2682178.68438,1176552.89585,2.953797,0.957234,171.70337
V377,2560256.65837,1133809.57198,0.789087,0.8838,45.869114
V378,2701238.79721,1164691.55663,2.763118,0.940782,160.619142
V379,2714682.81449,1161247.70113,2.499542,0.928082,145.299145
V380,2777177.42180,1190758.15008,2.622739,0.940235,152.461678
V381,2775056.45785,1196785.99555,2.249566,0.913608,130.771971
V382,2688644.18484,1199337.76714,1.302833,0.843437,75.737198
V383,2760791.21038,1257578.60429,1.622703,0.775501,94.334229
V384,2645849.58844,1123664.95589,2.589727,0.933844,150.54103
V385,2655331.53314,1177481.91282,1.451675,0.836936,84.393755
V386,2608473.84900,1188527.95734,1.320089,0.828678,76.741245
V387,2673857.89501,1204321.58939,1.630181,0.747667,94.773836
V388,2783787.60759,1206138.01577,2.634953,0.939874,153.170792
V389,2734421.21950,1169019.09577,2.266045,0.880248,131.73221
V390,2598722.01590,1139018.96247,2.335538,0.938792,135.765761
V391,2587241.97539,1114637.74739,1.302817,0.909164,75.737558
V392,2794025.07627,1164340.38354,2.559462,0.933024,148.784104
V393,2740963.68074,1134328.39137,2.507333,0.918868,145.754828
V394,2709706.10211,1181075.93824,2.863994,0.948003,166.483055
V395,2616297.97239,1126323.34823,2.147296,0.922252,124.824845
V396,2604264.12431,1240429.49334,1.24005,0.888114,72.08495
V397,2634456.95733,1263679.96493,1.157639,0.854289,67.297804
V398,2760322.12981,1148231.06333,2.758753,0.94075,160.366169
V399,2635084.51395,1151046.22002,3.342345,0.969033,194.288583
V400,2729355.07835,1144435.43388,2.716879,0.932648,157.932387
V401,2717052.21438,1138711.70504,1.596983,0.518642,92.851521
V402,2595269.96332,1221591.45270,1.110855,0.898433,64.573911
V403,2791635.80364,1197091.22673,2.723614,0.943306,158.324437
V404,2715704.70549,1190518.26663,2.739576,0.943489,159.251692
V405,2682055.73468,1269940.97724,1.090629,0.872819,63.397201
V406,2697667.40491,1139337.85583,2.453813,0.89758,142.643844
V407,2717321.21901,1086329.10984,1.202001,0.590453,69.898632
V408,2822711.45728,1177598.74180,2.86097,0.947329,166.309348
V409,2697729.18244,1176554.99545,2.683247,0.944112,155.977029
V410,2539495.18736,1154059.36492,0.815322,0.856809,47.395298
V411,2673349.11920,1197403.04910,2.071077,0.879045,120.398412
V412,2678281.66597,1231367.21568,1.367397,0.774362,79.49463
V413,2640547.28528,1128966.86948,1.118548,0.775878,65.029115
V414,2598197.76007,1245052.60961,1.10275,0.849731,64.104044
V415,2563267.69135,1136909.08011,1.726707,0.905671,100.377864
V416,2726990.33685,1156299.76844,2.859811,0.944252,166.239407
V417,2718102.72465,1154344.59927,2.371255,0.900826,137.845384
V418,2527011.05963,1195743.74895,1.175435,0.899684,68.330833
V419,2761398.03163,1157678.67884,2.723475,0.940475,158.316013
V420,2695186.72203,1272045.27575,1.173906,0.860394,68.238071
V421,2648488.35194,1158713.19771,3.35682,0.9698,195.129723
V422,2730781.58542,1247318.51691,1.486681,0.849083,86.423373
V423,2613245.65827,1167906.68683,1.80534,0.883635,104.949795
V424,2522244.91017,1170360.27328,0.986087,0.905882,57.32442
V425,2565551.52634,1181316.11437,1.084391,0.86988,63.040148
V426,2736527.69225,1163413.75506,2.651861,0.934542,154.152662
V427,2732729.79497,1229131.53135,1.946749,0.873743,113.168799
V428,2797980.60674,1139842.27838,3.011738,0.955492,175.072397
V429,2703285.83694,1137114.34910,2.405121,0.883162,139.815359
V430,2731007.45281,1200229.12220,2.092456,0.879293,121.641169
V431,2723361.91824,1141866.84600,2.398598,0.85489,139.440319
V432,2663089.79874,1222455.66529,1.39554,0.802809,81.127351
